,Gender,Age,Debt,BankCustomer,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,ZipCode,Income,Approved,Industry_CommunicationServices,Industry_ConsumerDiscretionary,Industry_ConsumerStaples,Industry_Education,Industry_Energy,Industry_Financials,Industry_Healthcare,Industry_Industrials,Industry_InformationTechnology,Industry_Materials,Industry_Real Estate,Industry_Research,Industry_Transport,Industry_Utilities,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Latino,Ethnicity_Other,Ethnicity_White,Citizen_ByBirth,Citizen_ByOtherMeans,Citizen_Temporary
476,1,23.58,0.835,1,0.085,0,0,0,1,220,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
70,1,32.33,7.5,1,1.585,1,0,0,1,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
457,1,29.67,0.75,0,0.04,0,0,0,0,240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
557,0,32.17,1.46,1,1.085,1,1,16,0,120,2079,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
620,1,22.17,2.25,1,0.125,0,0,0,0,160,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
54,1,34.25,3.0,1,7.415,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
205,0,35.42,12.0,1,14.0,1,1,8,0,0,6590,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
195,1,28.25,5.04,0,1.5,1,1,8,1,144,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
515,1,28.46,10.5,1,6.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
175,1,27.0,1.5,0,0.375,1,0,0,1,260,1065,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
404,1,34.0,5.085,0,1.085,0,0,0,1,480,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
93,1,52.33,1.375,0,9.46,1,0,0,1,200,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
389,1,22.92,0.17,1,0.085,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
474,1,20.67,0.415,1,0.125,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
479,1,26.5,2.71,0,0.085,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,1,34.83,4.0,1,12.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
308,1,27.75,1.29,1,0.25,0,0,0,1,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
297,1,32.92,2.5,1,1.75,0,1,2,1,720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,1,32.08,4.0,1,2.5,1,0,0,1,360,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
397,0,23.58,0.585,0,0.125,0,0,0,0,120,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
633,1,32.42,2.165,0,0.0,0,0,0,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,1,29.25,14.79,1,5.04,1,1,5,1,168,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
210,1,39.33,5.875,1,10.0,1,1,14,1,399,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
194,1,34.5,4.04,0,8.5,1,1,7,1,195,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
678,0,17.92,10.21,1,0.0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,0,24.5,0.5,1,1.5,1,0,0,0,280,824,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
466,1,31.08,3.085,1,2.5,0,1,2,1,160,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
66,0,36.0,1.0,1,2.0,1,1,11,0,0,456,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
433,1,25.25,1.0,1,0.5,0,0,0,0,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
183,0,57.08,19.5,1,5.5,1,1,7,0,0,3000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
338,0,33.25,3.0,0,2.0,0,0,0,0,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
354,1,36.67,2.0,1,0.25,0,0,0,1,221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
416,1,22.5,0.125,0,0.125,0,0,0,0,200,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
136,1,39.92,0.54,0,0.5,1,1,3,0,200,1000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,0,28.46,3.5,1,3.0,1,0,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
685,1,21.08,10.085,0,1.25,0,0,0,0,260,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
85,1,37.17,4.0,1,5.0,1,0,0,1,280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
377,1,20.67,0.835,0,2.0,0,0,0,1,240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
325,0,29.5,1.085,0,1.0,0,0,0,0,280,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
244,1,18.5,2.0,1,1.5,1,1,2,0,120,300,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173,0,49.83,13.585,1,8.5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
245,1,33.17,3.04,0,2.04,1,1,1,1,180,18027,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
76,1,34.08,6.5,1,0.125,1,0,0,1,443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
473,1,19.17,4.0,0,1.0,0,0,0,1,360,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
168,1,36.67,3.25,1,9.0,1,0,0,1,102,639,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
190,1,21.33,10.5,1,3.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
159,1,34.08,0.08,0,0.04,1,1,1,1,280,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
374,1,28.17,0.585,1,0.04,0,0,0,0,260,1004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98,0,22.5,11.0,0,3.0,1,0,0,1,268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
41,1,28.92,15.0,1,5.335,1,1,11,0,0,2283,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
555,1,41.92,0.42,1,0.21,1,1,6,0,220,948,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
192,1,41.75,0.96,1,2.5,1,0,0,0,510,600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
102,1,18.67,5.0,1,0.375,1,1,2,0,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
149,0,52.83,15.0,1,5.5,1,1,14,0,0,2200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
673,1,29.5,2.0,0,2.0,0,0,0,0,256,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,1,42.08,1.04,1,5.0,1,1,6,1,500,10000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
110,1,29.17,3.5,1,3.5,1,1,3,1,329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
533,1,40.92,0.835,1,0.0,1,0,0,0,130,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
321,0,18.08,0.375,1,10.0,0,0,0,1,300,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
655,0,21.08,5.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
521,0,30.0,5.29,1,2.25,1,1,5,1,99,500,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
525,1,45.17,1.5,1,2.5,1,0,0,1,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
376,1,28.67,14.5,1,0.125,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
573,0,65.17,14.0,1,0.0,1,1,11,1,0,1400,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
357,0,19.5,0.165,1,0.04,0,0,0,1,380,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
546,1,23.58,0.46,0,2.625,1,1,6,1,208,347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
638,1,28.58,3.625,1,0.25,0,0,0,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
225,1,23.25,4.0,1,0.25,1,0,0,1,160,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
254,1,28.46,0.625,1,0.25,0,0,0,0,380,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
268,1,59.67,1.54,1,0.125,1,0,0,1,260,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
628,1,29.25,13.0,1,0.5,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
129,0,28.42,3.5,1,0.835,1,0,0,0,280,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
252,0,17.83,11.0,1,1.0,1,1,11,0,0,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
278,1,24.58,13.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
538,1,34.25,1.75,1,0.25,1,0,0,1,163,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21,1,23.25,1.0,1,0.835,1,0,0,0,300,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
558,1,51.42,0.04,1,0.04,1,0,0,0,0,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
491,1,24.17,0.875,1,4.625,1,1,2,1,520,2000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
599,1,20.5,2.415,1,2.0,1,1,11,1,200,3000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
105,1,54.83,15.5,1,0.0,1,1,20,0,152,130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
508,0,30.67,12.0,1,2.0,1,1,1,0,220,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
113,0,33.75,0.75,1,1.0,1,1,3,1,212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
99,0,28.5,1.0,1,1.0,1,1,2,1,167,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
408,1,16.0,3.125,1,0.085,0,1,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
216,1,41.17,4.04,1,7.0,1,1,8,0,320,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
600,0,29.5,0.46,1,0.54,1,1,4,0,380,500,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
536,0,24.92,1.25,1,0.0,1,0,0,0,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
106,1,28.75,1.165,1,0.5,1,0,0,0,280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
517,1,16.08,0.75,1,1.75,1,1,5,1,352,690,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
647,1,24.08,9.0,1,0.25,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
452,1,36.5,4.25,1,3.5,0,0,0,0,454,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
665,1,31.83,0.04,0,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
677,1,19.42,7.25,1,0.04,0,1,1,0,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
342,1,26.92,2.25,1,0.5,0,0,0,1,640,4000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
209,1,39.5,4.25,1,6.5,1,1,16,0,117,1210,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
115,0,25.42,1.125,1,1.29,1,1,2,0,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
320,1,21.25,1.5,1,1.5,0,0,0,0,150,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
636,1,40.92,0.5,0,0.5,0,0,0,1,130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
243,0,18.75,7.5,1,2.71,1,1,5,0,0,26726,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
588,1,26.67,1.75,0,1.0,1,1,5,1,160,5777,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
291,0,18.25,10.0,1,1.0,0,1,1,0,120,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
399,1,31.0,2.085,1,0.085,0,0,0,0,300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
381,0,22.67,7.0,1,0.165,0,0,0,0,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
403,0,22.67,0.335,1,0.75,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
497,1,20.17,9.25,1,1.665,1,1,3,1,40,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
478,1,22.75,11.5,1,0.415,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
464,0,23.0,1.835,1,0.0,0,1,1,0,200,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
114,1,20.67,1.25,0,1.375,1,1,3,1,140,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
528,0,55.75,7.08,1,6.75,1,1,3,1,100,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
409,1,17.08,0.25,1,0.335,0,1,4,0,160,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
463,0,36.58,0.29,1,0.0,0,1,10,0,200,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
255,1,18.17,10.25,1,1.085,0,0,0,0,320,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
596,0,46.08,3.0,1,2.375,1,1,8,1,396,4159,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
219,0,18.92,9.25,0,1.0,1,1,4,1,80,500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
48,1,41.5,1.54,1,3.5,0,0,0,0,216,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
605,0,29.58,1.75,0,1.25,0,0,0,1,280,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
294,0,16.08,0.335,1,0.0,0,1,1,0,160,126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
661,1,29.83,3.5,1,0.165,0,0,0,0,216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
364,1,24.42,2.0,1,0.165,0,1,2,0,320,1300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
641,1,33.17,2.25,0,3.5,0,0,0,1,200,141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
598,1,20.08,0.125,1,1.0,0,1,1,0,240,768,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
63,0,20.42,0.835,1,1.585,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
91,1,31.42,15.5,1,0.5,1,0,0,0,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
224,0,37.75,5.5,1,0.125,1,0,0,1,228,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
503,1,28.25,5.125,1,4.75,1,1,2,0,420,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
676,0,30.58,10.665,1,0.085,0,1,12,1,129,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
248,1,24.5,12.75,1,4.75,1,1,2,0,73,444,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52,1,37.42,2.04,1,0.04,1,0,0,1,400,5800,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
197,1,48.17,7.625,1,15.5,1,1,12,0,0,790,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
571,1,21.0,3.0,0,1.085,1,1,8,1,160,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
642,1,31.58,0.75,0,3.5,0,0,0,1,320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,1,32.0,1.75,0,0.04,1,0,0,1,393,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
652,0,22.5,0.415,1,0.335,0,0,0,1,144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
227,0,22.5,8.46,0,2.46,0,0,0,0,164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
177,0,26.08,8.665,1,1.415,1,0,0,0,160,150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
669,1,51.83,2.04,0,1.5,0,0,0,0,120,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
671,1,25.83,12.835,1,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
331,0,33.25,2.5,0,2.5,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
617,1,32.25,14.0,0,0.0,0,1,2,0,160,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
348,1,63.33,0.54,1,0.585,1,1,3,1,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
372,0,45.0,4.585,1,1.0,0,0,0,1,240,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
312,0,16.33,0.21,1,0.125,0,0,0,0,200,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
550,1,76.75,22.29,1,12.75,1,1,1,1,0,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
256,1,20.0,11.045,1,2.0,0,0,0,1,136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
43,1,39.58,13.915,1,8.625,1,1,6,1,70,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
58,1,35.17,4.5,1,5.75,0,0,0,1,711,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
